,city,kindergarten
0,"San Gabriel, CA 91776","[-118.1077970264596, 34.09603300498706]"
1,"Los Angeles, CA 90033","[-118.21939, 34.05306]"
2,"Los Angeles, CA 90041","[-118.214986, 34.130836]"
3,California,"[-118.09561920166016, 34.09136199951172]"
4,"El Monte, CA 91731","[-118.03980800000001, 34.073071]"
5,"Los Angeles, CA 90027","[-118.29975, 34.102546000000004]"
6,"Los Angeles, CA 90029","[-118.30411799999999, 34.094904]"
7,"Rosemead, CA 91770","[-118.10776153741614, 34.05971283723742]"
8,"Alhambra, CA 91801","[-118.11925427043374, 34.08646578162517]"
9,"Los Angeles, CA 90028","[-118.29619978882391, 34.0959801583347]"
10,"South Gate, CA 90280","[-118.18987992158468, 33.95194108536595]"
11,"South Gate, CA 90280","[-118.19018267979276, 33.95184378781283]"
12,"South Gate, CA 90280","[-118.18996560792381, 33.95173598852122]"
13,"South Gate, CA 90280","[-118.15899, 33.91295]"
14,"Los Angeles, CA 90027","[-118.30463, 34.09535]"
15,"Garden Grove, CA 92840","[-117.958136, 33.797558]"
16,"San Gabriel, CA 91775","[-118.076843, 34.103949]"
17,"Temple City, CA","[-118.07331820088218, 34.11735131428048]"
18,"Whittier, CA 90602","[-118.041702, 33.953998]"
19,"Carson, CA 90746","[-118.266253, 33.86292]"
20,"Torrance, CA 90504","[-118.31707133694482, 33.866254128329054]"
21,"Sherman Oaks, CA 91423","[-118.44281558918455, 34.14073301653035]"
22,"Covina, CA 91724","[-117.85345, 34.074357]"
23,"Long Beach, CA 90804","[-118.15241, 33.78828]"
24,California,"[-117.88788600000001, 33.983105]"
25,"Covina, CA 91723","[-117.8845775, 34.0801649]"
26,"Rancho Palos Verde, CA 90275","[-118.370894, 33.768365]"
27,"Anaheim, CA 92801","[-117.959701, 33.836119000000004]"
28,"Saugus, CA 91350","[-118.5226682023364, 34.44078559353753]"
29,"Anaheim, CA","[-117.904977, 33.846424]"
30,"Walnut, CA 91789","[-117.850277, 34.045239]"
31,"Walnut, CA 91789","[-117.8678326304082, 33.984566927563726]"
32,"San Dimas, CA 91773","[-117.79329485451825, 34.10593837043284]"
